customer_id,age,income,loan_amount,personal_loan,credit_score,marital_status,education,previous_campaign_response,bank_product_usage
1,25,50000,20000,0,700,Single,Bachelor,No,Yes
2,45,80000,30000,1,750,Married,Master,Yes,Yes
3,35,60000,25000,0,720,Single,Bachelor,No,No
4,50,120000,50000,1,800,Married,PhD,Yes,Yes
5,30,70000,15000,0,680,Single,Bachelor,No,No
6,40,90000,40000,1,740,Married,Master,Yes,Yes
7,28,55000,22000,0,710,Single,Bachelor,No,Yes
8,55,110000,45000,1,790,Married,PhD,Yes,Yes
9,38,65000,30000,0,730,Single,Bachelor,No,No
10,42,85000,35000,1,760,Married,Master,Yes,Yes
11,29,52000,18000,0,695,Single,Bachelor,No,No
12,48,95000,42000,1,775,Married,Master,Yes,Yes
13,33,58000,20000,0,715,Single,Bachelor,No,No
14,46,88000,37000,1,765,Married,Master,Yes,Yes
15,37,62000,23000,0,725,Single,Bachelor,No,No
16,52,115000,48000,1,805,Married,PhD,Yes,Yes
17,31,54000,19000,0,700,Single,Bachelor,No,No
18,44,82000,32000,1,740,Married,Master,Yes,Yes
19,39,67000,28000,0,735,Single,Bachelor,No,No
20,53,105000,46000,1,780,Married,PhD,Yes,Yes
